"id","edicao","topico","titulo","link","selecionado","foco","nivel","aplicacao","tema","tecnologia"
"05-1A",5,Statistics Education at the school level,Learning Probability Concepts Through Games,https://iase-web.org/documents/papers/icots5/Topic1a.pdf,0,,Básico,,,
"05-1B",5,Statistics Education at the school level,The Emergence Of Statistical Reasoning In Brazilian School Children,https://iase-web.org/documents/papers/icots5/Topic1b.pdf,0,,Básico,,,
"05-1C",5,Statistics Education at the school level,Is This Game Fair? The Emergence Of Statistical Reasoning In Young Children,https://iase-web.org/documents/papers/icots5/Topic1c.pdf,0,,Básico,,,
"05-1D",5,Statistics Education at the school level,"Two Dice, Two Sample Spaces",https://iase-web.org/documents/papers/icots5/Topic1d.pdf,0,,Básico,,,
"05-1E",5,Statistics Education at the school level,Children’s Intuitions Of Probabilistic Concepts Emerging From Fair Play,https://iase-web.org/documents/papers/icots5/Topic1e.pdf,0,,Básico,,,
"05-1F",5,Statistics Education at the school level,Trends In The Statistics Classroom Since NCTM Standards,https://iase-web.org/documents/papers/icots5/Topic1f.pdf,1,aluno,Básico,ferramenta,"curriculo,pedagogia",NI
"05-1G",5,Statistics Education at the school level,Teaching Statistics By Research: The Organization Of A Survey,https://iase-web.org/documents/papers/icots5/Topic1g.pdf,0,,Básico,,,
"05-1H",5,Statistics Education at the school level,"Making The Change To Statistical Education: The Practicalities, Pitfalls And Successes",https://iase-web.org/documents/papers/icots5/Topic1h.pdf,0,,Básico,,,
"05-1I",5,Statistics Education at the school level,Mathematical Modeling Using Statistical Tools: The Exploration Of Life-Related Data Using Computer And Graphing Calculator Technology,https://iase-web.org/documents/papers/icots5/Topic1i.pdf,0,,Básico,,,
"05-1J",5,Statistics Education at the school level,Sharing Data Via Email At The Secondary Level,https://iase-web.org/documents/papers/icots5/Topic1j.pdf,0,,Básico,,,
"05-1K",5,Statistics Education at the school level,Extending The Use Of Statistical Packages In An Elementary Statistics Course To Enhance Understanding,https://iase-web.org/documents/papers/icots5/Topic1k.pdf,0,,Básico,,,
"05-1L",5,Statistics Education at the school level,Supporting Statistics Teachers,https://iase-web.org/documents/papers/icots5/Topic1l.pdf,0,,Básico,,,
"05-1M",5,Statistics Education at the school level,Innovative Secondary School Classroom Experiments With Statistics Education Using The Computer,https://iase-web.org/documents/papers/icots5/Topic1m.pdf,1,aluno,Básico,ferramenta,"curriculo,pedagogia",Excel
