"id","nome","instituicao","pais"
"05-1A",Miriam Amit,,
"05-1B",Estela Kaufman Fainguelernt,,
"05-1B",Janete Bolite Frant,,
"05-1C",Carolyn A. Maher,,
"05-1D",Bob Speiser,,
"05-1D",Chuck Walter,,
"05-1E",Draga Vidakovic,,
"05-1E",Sarah Berenson,,
"05-1E",Jane Brandsma,,
"05-1F",Margaret M. Balachowski,Michigan Technological University,Estados Unidos
"05-1G",Theodore Chadjipadelis,,
"05-1H",Janet Chaseling,,
"05-1H",Leah Liddell,,
"05-1H",Karen Harris,,
"05-1I",Vince Geiger,Hillbrook Anglican School,Austrália
"05-1I",Rex Boggs,Glenmore State High School,Austrália
"05-1J",Hartley Hyde,,
"05-1J",James Nicholson,,
"05-1K",James Nicholson,,
"05-1L",Margaret Rangecroft,,
"05-1M",Alan Rogerson,Melbourne Grammar School,Austrália
"05-2A",Martha Bilotti-Aliaga,University of Michigan,Estados Unidos
"05-2B",Brenton Dansie,,
"05-2C",Allan J. Rossman,Dickinson College,Estados Unidos
"05-2C",Beth L. Chance,University of the Pacific,Estados Unidos
"05-2D",Jeffrey A. Witmer,,
"05-2E",Gail E. Fitzsimons,,
"05-2F",Eric R. Sowey,,
"05-2G",David A. Swanson,,
"05-2G",Jerome N. Mckibben,,
"05-2H",William L. Carlson,St Olaf College,Estados Unidos
"05-2I",K .L. D. Gunawardena,,
"05-2J",Eddie Shoesmith,,
"05-2K",Dave Saville,,
"05-2K",Graham Wood,,
"05-2L",Elliot A. Tanis,Hope College,Estados Unidos
"05-2M",Glenys Bishop,,
"05-2N",George Cobb,,
"05-2N",Weiwen Miao,,
"05-2O",Ho Siong Lin,Ngee Ann Polytechnic,Singapura
"05-2P",Robin H. Lock,,
"05-2Q",Gudmund R. Iversen,,
"05-2R",Bruno Lecoutre,Université de Rouen Mathématiques,França
"05-2S",Milo Schield,,
"05-2T",Dalene K. Stangl,,
"05-2U",Ray Chambers,The University of Southampton,Reino Unido
"05-2U",Chris Skinner,The University of Southampton,Reino Unido
"05-2V",Flavia Jolliffe,University of Greenwich,Reino Unido
"05-2W",Bryan F. J. Manly,,
"05-2W",Lyman L. McDonald,,
"05-2X",Parimal Mukhopadhyay,,
"05-2Y",Michael J. Campbell,,
"05-2Z",Petter Laake,University of Oslo,Noruega
"05-2ZA",Elisabeth Svensson,,
"05-2ZB",Thierry Foucart,,
"05-2ZC",Chin-Diew Lai,,
"05-2ZC",John C W Rayner,,
"05-2ZC",T P Hutchinson,,
"05-3A",Hing-Po Lo,,
"05-3A",Josephine K P Lam,,
"05-3B",Hans - Joachim Mittag,,
"05-3C",Chris Wild,,
"05-3C",Maxine Pfannkuch,,
"05-3D",Gabriella M. Belli,,
"05-3E",Jim Bentley,,
"05-3E",Tammi J. Schneider,,
"05-3E",Donald L. Bentley,,
"05-3F",Stephen Olejnik,,
"05-3G",Margaret Rangecroft,,
"05-3G",William Wallace,,
"05-3H",Stephen J. Ruberg,,
"05-3I",Joseph M. Wisenbaker,,
"05-3I",Janice S. Scott,,
"05-3J",Marcel Van den Broecke,,
"05-3K",Neville Davies,,
"05-3K",Fred Smith,,
"05-3L",Rudolf Teekens,,
"05-3M",D. Bruce Dunning,,
"05-3M",Chin-Diew Lai,,
"05-3N",Daniel Lunn,,
"05-3O",Brian Phillips,,
"05-3O",Glenda Francis,,
"05-3O",Marianne Hutcheson,,
"05-3P",Mike Talbot,,
"05-3P",Graham Horgan,,
"05-3P",Alec Mann,,
"05-3P",Ramón Alonso,,
"05-3P",Jacques Badia,,
"05-3P",Glenys Bishop,,
"05-3P",H. Dieter Quednau,,
"05-3Q",Stuart G. Young,,
"05-4A",Anne Hawkins,,
"05-4B",Helen MacGillivray,,
"05-4D",Jerry L. Moreno,,
"05-4E",Jonathan Moritz,,
"05-4F",Maxine Pfannkuch,,
"05-4F",Chris Wild,,
"05-4G",Katherine Taylor-Halvorsen,,
"05-4H",E. Jacquelin Dietz,,
"05-4I",Gerald Goodall,,
"05-4J",David Green,,
"05-4J",Mike Fuller,,
"05-4K",Jerry L. Moreno,,
"05-4L",Maria Gabriella Ottaviani,,
"05-4M",Ene-Margit Tiit,,
"05-4N",Michael Finkelstein,,
"05-4O",Joseph L. Gastwirth,,
"05-4P",Mary W. Gray,,
"05-4Q",Peter Hawkins,,
"05-4Q",Anne Hawkins,,
"05-4R",Anne Porter,,
"05-4S",Bernard Robertson,,
"05-4S",G A Vignaux,,
"05-5A",Kamanzi-wa-Binyavanga,,
"05-5B",Nsowah-Nuamah Nicholas Nicodemus Nana,,
"05-5C",Godwin E. O. Ogum,,
"05-5D",Francois E Steffens,,
"05-5E",JI Kobus de Wet,Vista University,África do Sul
"05-5F",Yuang-Tswong Lue,,
"05-5G",Tae Rim Lee,,
"05-5H",Su-Chen Wang,,
"05-5H",Wing-Keung Wong,,
"05-5I",Francisco T. Sánchez Cobo,,
"05-5I",Antonio Estepa Castro,,
"05-5J",Diana R. Kohan,,
"05-5K",Nora Lac Prugent,,
"05-5K",Elda Gallese,,
"05-5L",Teresita E. Terán,Universidad Nacional de Rosario,Argentina
"05-5M",Jose-Paulo Q. Carneiro,,
"05-5M",Paulo Afonso Lopes DaSilva,,
"05-5N",Guido Ferrari,,
"05-5O",Fayez M. Mina,,
"05-5P",Ante Rozga,,
"05-6A",Dani Ben-Zvi,,
"05-6A",Abraham Arcavi,,
"05-6B",George W. Bright,,
"05-6B",Susan N. Friel,,
"05-6C",Gail Burrill,,
"05-6D",Antonio Estepa Castro,,
"05-6D",Francisco T. Sánchez-Cobo,,
"05-6E",Sharleen Forbes,,
"05-6F",Linda Gattuso,,
"05-6F",Claudine Mary,,
"05-6G",Tjaart Imbos,,
"05-6G",Iris Schols,,
"05-6G",Paul Talsma,,
"05-6H",Neil Thomason,,
"05-6H",Jan Les,,
"05-6I",John Truran,,
"05-6J",Joseph Wisenbaker,,
"05-6J",Janice S. Scott,,
"05-6K",Gilberte Schuyten,,
"05-6K",Hannelore Dekeyser,,
"05-6L",Pamela Shaw,,
"05-6M",Martin M. A. Valcke,,
"05-6N",Sue Finch,,
"05-6O",Zamalia Mahmud,,
"05-6O",Chris Robertson,,
"05-6P",Anne M. Williams,,
"05-6Q",Robert J. Russell,,
"05-6R",Kathleen Truran,,
"05-6S",Jenni Way,,
"05-6T",Iddo Gal,,
"05-6T",Joan B. Garfield,,
"05-6U",Joan B. Garfield,,
"05-6V",Carl J. Huberty,,
"05-6W",Jane M. Watson,,
"05-6X",Flavia Jolliffe,,
"05-7A",Robin George Boyle,Deakin University,Austrália
"05-7B",Neville Davies,Nottingham Trent University,Reino Unido
"05-7B",Rob Lees,Nottingham Trent University,Reino Unido
"05-7B",Steve Smith,Nottingham Trent University,Reino Unido
